日付,商品名,カテゴリ,売上金額,注文数,新規/既存,定期回数,チャネル
2026-01-05,coconeクレイクリームシャンプー,ヘアケア,158000,40,新規,1,自社EC
2026-01-05,coconeクレイクリームシャンプー,ヘアケア,89600,32,既存,3,自社EC
2026-01-05,coconeクレイクリームシャンプー,ヘアケア,67200,24,既存,6,自社EC
2026-01-10,coconeボディウォッシュ,ボディケア,72000,24,新規,1,自社EC
2026-01-10,coconeボディウォッシュ,ボディケア,42000,15,既存,2,自社EC
2026-01-15,coconeクレイクリームシャンプー,ヘアケア,145000,38,新規,1,自社EC
2026-01-15,coconeクレイクリームシャンプー,ヘアケア,84000,30,既存,4,自社EC
2026-01-20,coconeボディウォッシュ,ボディケア,54000,18,新規,1,Amazon
2026-01-25,coconeクレイクリームシャンプー,ヘアケア,168000,42,新規,1,自社EC
2026-01-25,coconeクレイクリームシャンプー,ヘアケア,95200,34,既存,5,自社EC
2026-02-05,coconeクレイクリームシャンプー,ヘアケア,172000,43,新規,1,自社EC
2026-02-05,coconeクレイクリームシャンプー,ヘアケア,78400,28,既存,2,自社EC
2026-02-10,coconeボディウォッシュ,ボディケア,66000,22,新規,1,自社EC
2026-02-10,coconeクレイクリームシャンプー,ヘアケア,61600,22,既存,7,自社EC
2026-02-15,coconeクレイクリームシャンプー,ヘアケア,152000,40,新規,1,自社EC
2026-02-15,coconeボディウォッシュ,ボディケア,39000,13,既存,3,自社EC
2026-02-20,coconeクレイクリームシャンプー,ヘアケア,89600,32,既存,4,自社EC
2026-02-25,coconeクレイクリームシャンプー,ヘアケア,180000,45,新規,1,自社EC
2026-02-25,coconeボディウォッシュ,ボディケア,48000,16,新規,1,Amazon
2026-03-05,coconeクレイクリームシャンプー,ヘアケア,192000,48,新規,1,自社EC
2026-03-05,coconeクレイクリームシャンプー,ヘアケア,100800,36,既存,3,自社EC
2026-03-10,coconeボディウォッシュ,ボディケア,78000,26,新規,1,自社EC
2026-03-15,coconeクレイクリームシャンプー,ヘアケア,156000,39,新規,1,自社EC
2026-03-15,coconeクレイクリームシャンプー,ヘアケア,72800,26,既存,6,自社EC
2026-03-20,coconeボディウォッシュ,ボディケア,45000,15,既存,2,自社EC
